idx,sample_id,side,capture_fraction,cam_to_door_centre_m,gap_pixels,gap_luma_mean,gap_luma_p90,leaf_region_pixels,leaf_region_luma_mean,in_roi_list
72,img_5e8f6477648ca5ac8d8ba881::yaw_minus_35,carport,0.1765,6.88,1058,27.1,45.0,19844,50.6,True
73,img_28ae3ec748a5e0d8c78031df::yaw_minus_35,carport,0.1787,6.78,1096,26.8,44.9,20136,47.6,True
74,img_5550c6ee126a8a927e97dac2::yaw_minus_35,carport,0.181,6.69,959,27.5,46.2,18705,48.3,True
75,img_b7f55877796392d83c722aba::yaw_minus_35,carport,0.1833,6.69,1096,22.7,39.2,21613,46.8,True
76,img_864f94111ef95cfcf74e9828::yaw_minus_35,carport,0.1855,6.64,1522,33.4,49.3,28281,50.9,True
77,img_05cc6ae9bfec314d854c8837::yaw_minus_35,carport,0.1878,6.57,1938,32.9,48.3,32282,50.6,True
78,img_21571925b3bdee2457e819f8::yaw_plus_35,carport,0.1878,6.57,3310,30.4,58.3,39309,35.7,False
79,img_1fb3a72aca781ca07d397457::yaw_minus_35,carport,0.19,6.54,2075,31.5,50.2,33790,49.6,True
80,img_9d11a004e9202f7dd1430bdc::yaw_plus_35,carport,0.19,6.54,2733,23.4,42.5,39242,35.4,False
81,img_0fd1829e4d452fc9e06670fe::yaw_minus_35,carport,0.1923,6.52,2772,32.2,52.4,38876,46.8,True
82,img_a49f9bef3e593948cf72d9a1::yaw_plus_35,carport,0.1923,6.52,2596,22.4,41.2,37928,34.9,False
83,img_2b4f13c695909781ea9270a7::yaw_plus_35,carport,0.1946,6.5,2194,18.9,32.2,33155,33.8,True
84,img_753e568dd0cb0b359ee23e57::yaw_plus_35,carport,0.1968,6.5,1883,19.8,33.0,29528,32.6,True
85,img_dad684e3df7bafd45b805a5d::yaw_plus_35,carport,0.1991,6.49,2100,20.5,33.0,31109,32.7,True
86,img_954f086e75547572ac933571::yaw_plus_35,carport,0.2014,6.47,2333,20.6,31.9,33848,33.3,True
87,img_e0bbacc0010098c4844951ac::yaw_plus_35,carport,0.2036,6.47,1770,19.5,29.9,27933,32.9,True
88,img_b4812019b4dfa216489f95df::yaw_minus_35,carport,0.2059,6.5,1925,29.6,47.7,33155,50.6,True
89,img_93526b49c3d4ea71e085b123::yaw_plus_35,carport,0.2059,6.49,1688,20.3,32.9,29119,34.1,True
90,img_fe46c480df46c4db13c4fd6c::yaw_minus_35,carport,0.2081,6.4,721,33.1,50.0,16991,55.1,False
91,img_39bde7ed1336ec78411af4c0::yaw_minus_35,carport,0.2104,6.39,392,32.1,52.5,11326,59.7,False
